id,Created At,Tweet,Location
1.65345E+18,2023-05-02 17:31:42+00:00,b'@Ugochuk79688061 @simon_ekpa @BiafraRGIE D way you dey tag fulani herdsmen dey do ur movement too an for ur informa\xe2\x80\xa6 https://t.co/gRrhALBoZK',b''
1.65345E+18,2023-05-02 17:31:20+00:00,b'@WElighted @Mr_JAGs Fulani herdsmen destroy our project site... \xf0\x9f\xa4\x94 https://t.co/5qVsQJvEGO',"b'Onitsha, Nigeria'"
1.65345E+18,2023-05-02 17:05:47+00:00,b'government and her security agencies for protecting our lands against the invading Fulani terrorists nicknamed herd\xe2\x80\xa6 https://t.co/P9X86408mG',b''
1.65344E+18,2023-05-02 17:02:55+00:00,"b'@BashirAhmaad @MBuhari Commissioning houses he knows nothing about when no one around there is safe from his brothers, Fulani herdsmen.'",b'Ukraine'
1.65344E+18,2023-05-02 16:34:27+00:00,b'@ileribabalobi @pdauda Benue peeps will give accounts of how they never had problems with herdsmen until 2015 in PM\xe2\x80\xa6 https://t.co/IWyWyooMwG',"b'Lagos, Nigeria'"
1.65344E+18,2023-05-02 16:29:20+00:00,"b""@oryibaba121 @BashirAhmaad @MBuhari And he couldn't protect ur people who had been slaughtered by fulani herdsmen. No be mumu u be?""",b''
1.65343E+18,2023-05-02 15:52:04+00:00,b'Nigeria government and her security agencies for protecting our lands against the invading Fulani terrorists nickna\xe2\x80\xa6 https://t.co/NzlWnv2ZlQ',b'Biafra '
1.65343E+18,2023-05-02 15:51:49+00:00,b'The people of Southern Kaduna are constantly being attacked by the Fulani Herdsmen. \nOur people of the #MiddleBelt\xe2\x80\xa6 https://t.co/fqd8LhgF8k',"b'Abuja, Nigeria'"
1.65342E+18,2023-05-02 15:42:47+00:00,b'@synoakins @renoomokri How is herdsmen related to the tweet? He condemns when necessary. Every sane human would con\xe2\x80\xa6 https://t.co/xGQ4Gpw1o3',"b'New York, USA'"
1.65342E+18,2023-05-02 15:41:42+00:00,"b'Eighteen Christians have been killed and others wounded in predominantly Christian villages of Plateau state, Niger\xe2\x80\xa6 https://t.co/uKEkbnoMl0'",b''
1.65342E+18,2023-05-02 15:38:07+00:00,"b'ISWAP Kills Pastor, Herdsmen Slaughter 134 Christians in Nigeria https://t.co/9nQjLGKSsd'",b'Garland Texas'
1.65342E+18,2023-05-02 15:35:57+00:00,"b'@memoizing @renoomokri If herdsmen kidnap you or a member of your family, I\xe2\x80\x99ll like to know your response then'",b'Canada'
1.65342E+18,2023-05-02 15:35:15+00:00,b'This man will use fulani herdsmen as excuse next https://t.co/kpbWcYUrx6',"b'London, England'"
1.65342E+18,2023-05-02 15:30:15+00:00,"b""@TheICIR @MBuhari We've always known he belongs to his murderous herdsmen. Yes, the same barbaric marauders who wre\xe2\x80\xa6 https://t.co/E6gkhhFUoe""",b''
1.65342E+18,2023-05-02 15:27:23+00:00,b'@SaharaReporters He had quietly planned to evict yoruba farmers for fulani killer herdsmen ?\nSouthern politicians i\xe2\x80\xa6 https://t.co/xgERFv8Klf',b''
1.65342E+18,2023-05-02 15:21:33+00:00,b'@WanTuran @MBuhari Choose one deaths by fulani herdsmen within markurdi lafia keffi  or makurdi lafia keffi express\xe2\x80\xa6 https://t.co/q7PsvTqY2e',b''
1.65342E+18,2023-05-02 15:16:58+00:00,"b""@SKefason This your tweet smell tribalism, call opurum out, I an Igbo man don't know Opurum and so do others and no\xe2\x80\xa6 https://t.co/evbYfcLoLx""",b'I follow back'
1.65342E+18,2023-05-02 15:07:52+00:00,b'@SaharaReporters And they said it was fulani herdsmen that were chased out',"b'Salford, England'"
