Biagrams,Frequency
"('fulani', 'herdsmen')",427
"('herdsmen', ""'"")",78
"('killer', 'herdsmen')",74
"('herdsmen', 'killing')",53
"('labour', 'party')",50
"('b', ""''"")",49
"('suspected', 'herdsmen')",45
"('herdsmen', 'bandits')",42
"('party', 'chairman')",42
"('ca', ""n't"")",40
"('haram', 'fulani')",37
"('herdsmen', 'haram')",30
"('herdsmen', 'attack')",30
"('southern', 'kaduna')",29
"('terrorist', 'herdsmen')",27
"('herdsmen', 'murder')",26
"('bandits', 'herdsmen')",26
"('armed', 'herdsmen')",26
"('killing', 'people')",24
"('herdsmen', 'terrorists')",23
"('haram', 'herdsmen')",23
"('chairman', 'benue')",22
"('murder', 'labour')",22
"('herdsmen', 'terrorist')",21
"('fulani', 'terrorist')",21
"('benue', 'communities')",18
"('herdsmen', 'benue')",18
"('herdsmen', 'slaughter')",18
"('benue', 'state')",17
"('bandits', 'fulani')",16
"('christians', 'nigeria')",16
"('herdsmen', ""''"")",16
"('slaughter', 'christians')",16
"('pastor', 'herdsmen')",15
"('haram', 'bandits')",15
"('unknown', 'gunmen')",15
"('terrorists', 'herdsmen')",14
"('farmers', 'herdsmen')",13
"('fulani', 'terrorists')",13
"('terrorists', 'fulani')",13
"('kills', 'pastor')",13
"('people', 'continue')",12
"('injure', 'eight')",12
"('continue', 'suffer')",11
"('state', 'community')",11
"('herdsmen', 'killed')",11
"('invade', 'state')",11
"('manner', 'marginalization')",11
"('herdsmen', 'invade')",11
"('herdsmen', 'crisis')",11
"('suffer', 'manner')",11
"('haram', 'iswap')",10
"('can', 'not')",10
"('herdsmen', 'unknown')",10
"('terrorist', 'fulani')",10
"('people', 'killed')",10
"('bandit', 'herdsmen')",10
"('soldier', 'others')",10
"('community', 'farmer')",10
"('indigenous', 'people')",10
"('herdsmen', 'attacked')",10
"('bokoharam', 'herdsmen')",10
"('iswap', 'kills')",10
"('farmer', 'injure')",10
"('eight', 'residents')",10
"('herdsmen', 'attacks')",10
"('others', 'benue')",9
"('nigeria', 'government')",9
"('herdsmen', 'soldier')",8
"('people', 'benue')",8
"('attack', 'benue')",8
"('herdsmen', 'farmers')",8
"('them', ""'"")",8
"('islamic', 'extremists')",8
"('they', ""'re"")",8
"('benue', 'labour')",8
"('benue', ""'"")",8
"('nigerian', 'government')",7
"('killing', 'christians')",7
"('masquerading', 'herdsmen')",7
"('extremists', 'killed')",7
"('killed', 'people')",7
"('meyetti', 'allah')",7
"('nigerians', ""'"")",7
"('herdsmen', 'umbrella')",7
"('bandits', ""'"")",7
"('haram', 'terrorists')",7
"('killing', 'nigerians')",7
"('killed', 'pastor')",7
"('killer', 'fulani')",7
"('fulani', 'killer')",7
"('residents', 'sahara')",7
"('herdsmen', 'bokoharam')",7
"('herdsmen', 'labour')",7
"('kaduna', 'benue')",7
"('people', 'southern')",7
"('herdsmen', 'kaduna')",6
"('herdsmen', 'iswap')",6
"('herdsmen', 'militia')",6
"('herdsmen', 'years')",6
"('trace', 'haram')",6
"('kidnappers', 'bandits')",6
"('herdsmen', 'people')",6
"('afraid', 'doanything')",6
"('happening', 'sudan')",6
"('herdsmen', 'afraid')",6
"('claims', 'lives')",6
"('doanything', 'xe7x8fxe5x88xa9xe5xa7xac')",6
"('nigeria', ""'"")",6
"('``', 'herdsmen')",6
"('umbrella', 'meyetti')",6
"('herdsmen', 'kidnappers')",6
"(""n't"", 'trace')",6
"('nigeria', 'police')",6
