Word,Frequency
herdsmen,1314
fulani,573
people,204
nigeria,193
haram,174
benue,150
bandits,132
killing,115
terrorists,100
terrorist,99
killer,96
killed,89
buhari,88
government,73
state,71
nigerians,59
suspected,58
party,57
attack,56
labour,55
chairman,54
farmers,53
country,48
police,48
nigerian,43
north,43
never,42
president,41
iswap,41
armed,40
kaduna,40
bokoharam,39
community,38
southern,37
still,37
sudan,36
christians,36
security,35
murder,34
t,34
attacks,34
killings,34
yoruba,33
years,32
a,31
kidnappers,30
always,29
others,29
think,28
nothing,27
the,27
trace,27
northern,27
communities,26
tinubu,25
pastor,25
igbos,25
gunmen,24
daily,24
innocent,24
unknown,24
military,24
called,24
south,23
middle,23
slaughter,22
bandit,22
problem,22
every,21
going,21
happening,21
farmer,21
would,21
continue,20
kidnapping,20
please,20
political,20
citizens,20
they,19
indigenous,19
i,19
niger,19
're,19
terrorism,18
first,18
right,18
can,18
group,18
since,17
attacked,17
brother,17
and,17
arrested,17
itx99s,17
criminals,17
you,17
islamic,17
media,17
world,16
election,16
residents,16
leave,16
cattle,16
kills,16
hands,16
thing,15
o,15
rescue,15
arrest,15
soldier,15
start,15
lives,15
killers,15
insecurity,15
eight,15
brothers,15
banditry,15
not,15
crisis,14
better,14
support,14
children,13
general,13
allah,13
extremists,13
politicians,13
herd,13
worst,13
suffer,13
injure,13
ortom,13
finish,13
herds,13
local,13
murdered,13
enter,13
to,13
human,12
poverty,12
happened,12
invade,12
oluomo,12
northerners,12
he,12
f,12
another,12
anything,12
actually,12
manner,12
protect,12
k,12
clash,12
militia,12
plateau,12
amotekun,12
*,12
happen,12
using,12
slaughtered,11
kidnapped,11
herders,11
s,11
biafra,11
afraid,11
sahara,11
force,11
common,11
an,11
marginalization,11
without,11
victims,11
h,11
month,11
villages,11
supporting,11
x98x82,11
money,11
understand,10
jihadist,10
crimes,10
cause,10
kidnap,10
lands,10
heard,10
that,10
calling,10
lagos,10
useless,10
talking,10
entire,10
village,10
states,10
everyday,10
defend,10
region,10
making,10
saying,10
christian,10
c,10
behind,10
enugu,10
don,10
failed,10
someone,10
already,9
trying,9
in,9
naira,9
imagine,9
night,9
leaving,9
business,9
forget,9
nnamdi,9
running,9
within,9
inside,9
taraba,9
brought,9
slaughtering,9
sunday,9
million,9
family,9
w,9
track,9
them,9
school,9
remember,9
adamawa,9
including,9
masquerading,9
of,9
fight,9
national,9
conflict,9
atiku,9
really,9
truth,8
massacre,8
worse,8
freely,8
alarm,8
officers,8
rampage,8
today,8
didn,8
criminal,8
twitter,8
farming,8
women,8
murdering,8
living,8
fighting,8
started,8
april,8
burning,8
reason,8
weeks,8
thought,8
destroyed,8
taken,8
republic,8
e,8
almost,8
asking,8
bring,8
condemn,8
terror,8
nonsense,8
by,8
injured,8
members,8
ix99m,8
picked,8
soldiers,8
around,8
fresh,8
created,7
confirmed,7
umbrella,7
tweet,7
akure,7
means,7
refused,7
following,7
death,7
destroy,7
m,7
peace,7
knows,7
no,7
forest,7
herdsme,7
claims,7
months,7
atrocities,7
homes,7
everything,7
yorubas,7
thugs,7
eastern,7
wrote,7
report,7
meyetti,7
hausa,7
least,7
caught,7
anyone,7
ar,7
question,7
looking,7
on,7
though,7
religious,7
exactly,7
whose,7
thinking,7
energy,7
thousands,7
l,7
committed,7
wrong,7
coming,7
declared,7
seeing,7
matter,7
administration,7
youx99re,7
silent,7
shall,6
break,6
different,6
operation,6
number,6
is,6
truly,6
weapons,6
wonder,6
sudanese,6
for,6
shame,6
breeders,6
delta,6
difference,6
from,6
economy,6
leaders,6
are,6
fulanis,6
countries,6
become,6
n,6
sponsored,6
peaceful,6
everywhere,6
rather,6
river,6
d,6
caused,6
nige,6
ransom,6
kinsmen,6
allow,6
allowed,6
millions,6
haven,6
catch,6
guess,6
place,6
aware,6
mention,6
instead,6
elections,6
worry,6
problems,6
yesterday,6
but,6
invaders,6
rights,6
r,6
spent,6
terrorizing,6
nigeriansnfulani,6
tribal,6
countryx99s,6
incessant,6
walking,6
activities,6
carry,6
doanything,6
presidency,6
known,6
murderous,6
yearold,6
northeast,6
reporters,6
muslim,6
x93,6
anybody,6
watched,6
create,6
nation,6
biafrans,5
destroying,5
ha,5
go,5
funny,5
threat,5
bridges,5
build,5
her,5
system,5
herdsm,5
u,5
marauding,5
what,5
condemned,5
livestock,5
there,5
here,5
peo,5
unchallenged,5
concern,5
ochoche,5
blind,5
ethnic,5
farmlands,5
nigeriajust,5
hypocrite,5
influx,5
immigration,5
agbero,5
times,5
fulan,5
about,5
imported,5
freedom,5
anywhere,5
great,5
several,5
spring,5
witches,5
breaking,5
crime,5
father,5
locate,5
alone,5
corrupt,5
answer,5
